gene1	K00001
gene2	K00002
gene3	K00003
gene4	K00004
gene5	K00005
gene6	K00008
gene7	K00009
gene8	K00010
gene9	K00012
gene10	K00013
gene11	K00014
gene12	K00015
gene13	K00016
gene14	K00018
gene15	K00019
gene16	K00020
gene17	K00021
gene18	K00023
gene19	K00024
gene20	K00025
gene21	K00027
gene22	K00029
gene23	K00030
gene24	K00031
gene25	K00033
gene26	K00034
gene27	K00035
gene28	K00036
gene29	K00037
gene30	K00038
gene31	K00039
gene32	K00040
gene33	K00041
gene34	K00042
gene35	K00043
gene36	K00044
gene37	K00045
gene38	K00046
gene39	K00048
gene40	K00050
gene41	K00051
gene42	K00052
gene43	K00053
gene44	K00054
gene45	K00055
gene46	K00057
gene47	K00058
gene48	K00059
gene49	K00060
gene50	K00062
gene51	K00063
gene52	K00064
gene53	K00065
gene54	K00066
gene55	K00067
gene56	K00068
gene57	K00071
gene58	K00073
gene59	K00074
gene60	K00075
gene61	K00076
gene62	K00077
gene63	K00078
gene64	K00079
gene65	K00082
gene66	K00086
gene67	K00087
gene68	K00088
gene69	K00090
gene70	K00091
gene71	K00094
gene72	K00096
gene73	K00097
gene74	K00098
gene75	K00099
gene76	K00100
gene77	K00101
gene78	K00102
gene79	K00103
gene80	K00104
gene81	K00106
gene82	K00111
gene83	K00112
gene84	K00113
gene85	K00116
gene86	K00118
gene87	K00119
gene88	K00120
gene89	K00121
gene90	K00122
gene91	K00123
gene92	K00124
gene93	K00125
gene94	K00127
gene95	K00128
gene96	K00129
gene97	K00130
gene98	K00131
gene99	K00132
gene100	K00133
gene101	K00134
gene102	K00135
gene103	K00137
gene104	K00138
gene105	K00140
gene106	K00142
gene107	K00143
gene108	K00145
gene109	K00147
gene110	K00148
gene111	K00150
gene112	K00151
gene113	K00155
gene114	K00156
gene115	K00158
gene116	K00161
gene117	K00162
gene118	K00164
gene119	K00167
gene120	K00169
gene121	K00170
gene122	K00171
gene123	K00172
gene124	K00174
gene125	K00175
gene126	K00176
gene127	K00177
gene128	K00179
gene129	K00180
gene130	K00183
gene131	K00184
gene132	K00185
gene133	K00186
gene134	K00187
gene135	K00189
gene136	K00193
gene137	K00194
gene138	K00196
gene139	K00197
gene140	K00198
gene141	K00200
gene142	K00201
gene143	K00202
gene144	K00203
gene145	K00204
gene146	K00205
gene147	K00207
gene148	K00208
gene149	K00210
gene150	K00215
gene151	K00216
gene152	K00218
gene153	K00219
gene154	K00220
gene155	K00224
gene156	K00226
gene157	K00230
gene158	K00231
gene159	K00234
gene160	K00239
gene161	K00240
gene162	K00241
gene163	K00243
gene164	K00244
gene165	K00245
gene166	K00246
gene167	K00247
gene168	K00248
gene169	K00249
gene170	K00253
gene171	K00257
gene172	K00259
gene173	K00260
gene174	K00261
gene175	K00262
gene176	K00263
gene177	K00265
gene178	K00266
gene179	K00273
gene180	K00275
gene181	K00278
gene182	K00281
gene183	K00282
gene184	K00283
gene185	K00284
gene186	K00285
gene187	K00286
gene188	K00287
gene189	K00290
gene190	K00293
gene191	K00294
gene192	K00297
gene193	K00298
gene194	K00299
gene195	K00300
gene196	K00301
gene197	K00302
gene198	K00303
gene199	K00309
gene200	K00311
gene201	K00313
gene202	K00318
gene203	K00319
gene204	K00320
gene205	K00322
gene206	K00324
gene207	K00325
gene208	K00329
gene209	K00330
gene210	K00331
gene211	K00332
gene212	K00333
gene213	K00334
gene214	K00335
gene215	K00336
gene216	K00337
gene217	K00338
gene218	K00339
gene219	K00340
gene220	K00341
gene221	K00342
gene222	K00343
gene223	K00344
gene224	K00346
gene225	K00347
gene226	K00348
gene227	K00349
gene228	K00350
gene229	K00351
gene230	K00353
gene231	K00354
gene232	K00355
gene233	K00356
gene234	K00358
gene235	K00359
gene236	K00362
gene237	K00364
gene238	K00365
gene239	K00366
gene240	K00369
gene241	K00370
gene242	K00371
gene243	K00372
gene244	K00373
gene245	K00374
gene246	K00375
gene247	K00378
gene248	K00380
gene249	K00381
gene250	K00382
gene251	K00383
gene252	K00384
gene253	K00385
gene254	K00386
gene255	K00389
gene256	K00390
gene257	K00394
gene258	K00395
gene259	K00399
gene260	K00400
gene261	K00401
gene262	K00402
gene263	K00404
gene264	K00405
gene265	K00406
gene266	K00407
gene267	K00411
gene268	K00412
gene269	K00413
gene270	K00421
gene271	K00423
gene272	K00425
gene273	K00426
gene274	K00428
gene275	K00429
gene276	K00432
gene277	K00433
gene278	K00435
gene279	K00436
gene280	K00437
gene281	K00440
gene282	K00441
gene283	K00442
gene284	K00443
gene285	K00446
gene286	K00449
gene287	K00450
gene288	K00457
gene289	K00459
gene290	K00462
gene291	K00467
gene292	K00480
gene293	K00481
gene294	K00483
gene295	K00484
gene296	K00492
gene297	K00494
gene298	K00505
gene299	K00510
gene300	K00514
gene301	K00517
gene302	K00520
gene303	K00523
gene304	K00525
gene305	K00526
gene306	K00527
gene307	K00528
gene308	K00529
gene309	K00532
gene310	K00533
gene311	K00534
gene312	K00535
gene313	K00536
gene314	K00537
gene315	K00538
gene316	K00539
gene317	K00540
gene318	K00543
gene319	K00547
gene320	K00548
gene321	K00549
gene322	K00551
gene323	K00554
gene324	K00555
gene325	K00556
gene326	K00557
gene327	K00558
gene328	K00559
gene329	K00560
gene330	K00561
gene331	K00563
gene332	K00564
gene333	K00565
gene334	K00566
gene335	K00567
gene336	K00568
gene337	K00570
gene338	K00571
gene339	K00573
gene340	K00574
gene341	K00575
gene342	K00577
gene343	K00578
gene344	K00579
gene345	K00580
gene346	K00581
gene347	K00582
gene348	K00583
gene349	K00584
gene350	K00586
gene351	K00587
gene352	K00588
gene353	K00590
gene354	K00591
gene355	K00595
gene356	K00598
gene357	K00599
gene358	K00600
gene359	K00602
gene360	K00603
gene361	K00604
gene362	K00605
gene363	K00606
gene364	K00607
gene365	K00608
gene366	K00609
gene367	K00610
gene368	K00611
gene369	K00612
gene370	K00613
gene371	K00614
gene372	K00615
gene373	K00616
gene374	K00619
gene375	K00620
gene376	K00621
gene377	K00625
gene378	K00626
gene379	K00627
gene380	K00631
gene381	K00632
gene382	K00633
gene383	K00634
gene384	K00638
gene385	K00639
gene386	K00640
gene387	K00641
gene388	K00645
gene389	K00646
gene390	K00647
gene391	K00648
gene392	K00650
gene393	K00651
gene394	K00652
gene395	K00653
gene396	K00655
gene397	K00656
gene398	K00657
gene399	K00658
gene400	K00660
gene401	K00661
gene402	K00662
gene403	K00663
gene404	K00666
gene405	K00669
gene406	K00670
gene407	K00672
gene408	K00674
gene409	K00675
gene410	K00676
gene411	K00677
gene412	K00680
gene413	K00681
gene414	K00683
gene415	K00684
gene416	K00685
gene417	K00687
gene418	K00688
gene419	K00689
gene420	K00690
gene421	K00691
gene422	K00692
gene423	K00693
gene424	K00694
gene425	K00695
gene426	K00696
gene427	K00700
gene428	K00701
gene429	K00702
gene430	K00703
gene431	K00705
gene432	K00710
gene433	K00712
gene434	K00713
gene435	K00720
gene436	K00721
gene437	K00728
gene438	K00729
gene439	K00737
gene440	K00743
gene441	K00745
gene442	K00748
gene443	K00750
gene444	K00752
gene445	K00754
gene446	K00756
gene447	K00757
gene448	K00758
gene449	K00759
gene450	K00760
gene451	K00761
gene452	K00762
gene453	K00763
gene454	K00764
gene455	K00765
gene456	K00766
gene457	K00767
gene458	K00768
gene459	K00769
gene460	K00772
gene461	K00773
gene462	K00777
gene463	K00782
gene464	K00783
gene465	K00784
gene466	K00786
gene467	K00787
gene468	K00788
gene469	K00789
gene470	K00790
gene471	K00791
gene472	K00793
gene473	K00794
gene474	K00795
gene475	K00796
gene476	K00797
gene477	K00798
gene478	K00799
gene479	K00800
gene480	K00801
gene481	K00803
gene482	K00805
gene483	K00806
gene484	K00809
gene485	K00810
gene486	K00811
gene487	K00812
gene488	K00813
gene489	K00814
gene490	K00817
gene491	K00818
gene492	K00819
gene493	K00820
gene494	K00821
gene495	K00823
gene496	K00824
gene497	K00826
gene498	K00830
gene499	K00831
gene500	K00832
gene501	K00833
gene502	K00835
gene503	K00836
gene504	K00837
gene505	K00839
gene506	K00841
gene507	K00842
gene508	K00844
gene509	K00845
gene510	K00847
gene511	K00848
gene512	K00849
gene513	K00850
gene514	K00851
gene515	K00852
gene516	K00853
gene517	K00854
gene518	K00855
gene519	K00856
