gene1	K00001
gene2	K00002
gene3	K00003
gene4	K00004
gene5	K00005
gene6	K00008
gene7	K00009
gene8	K00010
gene9	K00011
gene10	K00012
gene11	K00013
gene12	K00014
gene13	K00015
gene14	K00016
gene15	K00018
gene16	K00019
gene17	K00020
gene18	K00023
gene19	K00024
gene20	K00027
gene21	K00028
gene22	K00029
gene23	K00030
gene24	K00031
gene25	K00032
gene26	K00033
gene27	K00034
gene28	K00036
gene29	K00037
gene30	K00038
gene31	K00039
gene32	K00040
gene33	K00041
gene34	K00042
gene35	K00043
gene36	K00044
gene37	K00045
gene38	K00046
gene39	K00048
gene40	K00050
gene41	K00051
gene42	K00052
gene43	K00053
gene44	K00054
gene45	K00055
gene46	K00057
gene47	K00058
gene48	K00059
gene49	K00060
gene50	K00062
gene51	K00064
gene52	K00065
gene53	K00066
gene54	K00067
gene55	K00068
gene56	K00071
gene57	K00073
gene58	K00074
gene59	K00075
gene60	K00076
gene61	K00077
gene62	K00078
gene63	K00079
gene64	K00082
gene65	K00086
gene66	K00087
gene67	K00088
gene68	K00090
gene69	K00091
gene70	K00094
gene71	K00096
gene72	K00097
gene73	K00098
gene74	K00099
gene75	K00100
gene76	K00101
gene77	K00102
gene78	K00103
gene79	K00104
gene80	K00105
gene81	K00106
gene82	K00108
gene83	K00111
gene84	K00112
gene85	K00113
gene86	K00114
gene87	K00115
gene88	K00116
gene89	K00117
gene90	K00118
gene91	K00119
gene92	K00120
gene93	K00121
gene94	K00122
gene95	K00123
gene96	K00124
gene97	K00125
gene98	K00126
gene99	K00127
gene100	K00128
gene101	K00129
gene102	K00130
gene103	K00131
gene104	K00132
gene105	K00133
gene106	K00134
gene107	K00135
gene108	K00137
gene109	K00138
gene110	K00140
gene111	K00141
gene112	K00143
gene113	K00145
gene114	K00146
gene115	K00147
gene116	K00148
gene117	K00150
gene118	K00151
gene119	K00154
gene120	K00155
gene121	K00156
gene122	K00158
gene123	K00161
gene124	K00162
gene125	K00163
gene126	K00164
gene127	K00166
gene128	K00167
gene129	K00169
gene130	K00170
gene131	K00171
gene132	K00172
gene133	K00174
gene134	K00175
gene135	K00176
gene136	K00177
gene137	K00179
gene138	K00180
gene139	K00183
gene140	K00184
gene141	K00185
gene142	K00186
gene143	K00188
gene144	K00189
gene145	K00194
gene146	K00196
gene147	K00197
gene148	K00198
gene149	K00202
gene150	K00205
gene151	K00207
gene152	K00208
gene153	K00210
gene154	K00214
gene155	K00215
gene156	K00216
gene157	K00217
gene158	K00218
gene159	K00219
gene160	K00220
gene161	K00224
gene162	K00226
gene163	K00227
gene164	K00228
gene165	K00230
gene166	K00231
gene167	K00234
gene168	K00239
gene169	K00240
gene170	K00241
gene171	K00242
gene172	K00243
gene173	K00244
gene174	K00245
gene175	K00246
gene176	K00247
gene177	K00248
gene178	K00249
gene179	K00252
gene180	K00253
gene181	K00255
gene182	K00256
gene183	K00257
gene184	K00258
gene185	K00259
gene186	K00260
gene187	K00261
gene188	K00262
gene189	K00263
gene190	K00264
gene191	K00265
gene192	K00266
gene193	K00273
gene194	K00274
gene195	K00275
gene196	K00276
gene197	K00278
gene198	K00281
gene199	K00282
gene200	K00283
gene201	K00284
gene202	K00285
gene203	K00286
gene204	K00287
gene205	K00290
gene206	K00293
gene207	K00294
gene208	K00297
gene209	K00298
gene210	K00299
gene211	K00301
gene212	K00302
gene213	K00303
gene214	K00304
gene215	K00305
gene216	K00309
gene217	K00311
gene218	K00313
gene219	K00314
gene220	K00315
gene221	K00316
gene222	K00317
gene223	K00318
gene224	K00320
gene225	K00322
gene226	K00324
gene227	K00325
gene228	K00326
gene229	K00329
gene230	K00330
gene231	K00331
gene232	K00332
gene233	K00333
gene234	K00334
gene235	K00335
gene236	K00336
gene237	K00337
gene238	K00338
gene239	K00339
gene240	K00340
gene241	K00341
gene242	K00342
gene243	K00343
gene244	K00344
gene245	K00346
gene246	K00347
gene247	K00348
gene248	K00349
gene249	K00350
gene250	K00351
gene251	K00353
gene252	K00354
gene253	K00355
gene254	K00356
gene255	K00358
gene256	K00359
gene257	K00362
gene258	K00363
gene259	K00364
gene260	K00365
gene261	K00366
gene262	K00368
gene263	K00369
gene264	K00370
gene265	K00371
gene266	K00372
gene267	K00373
gene268	K00374
gene269	K00375
gene270	K00376
gene271	K00378
gene272	K00380
gene273	K00381
gene274	K00382
gene275	K00383
gene276	K00384
gene277	K00385
gene278	K00386
gene279	K00387
gene280	K00389
gene281	K00390
gene282	K00394
gene283	K00395
gene284	K00397
gene285	K00404
gene286	K00405
gene287	K00406
gene288	K00407
gene289	K00411
gene290	K00412
gene291	K00413
gene292	K00421
gene293	K00423
gene294	K00425
gene295	K00426
gene296	K00427
gene297	K00428
gene298	K00429
gene299	K00432
gene300	K00433
gene301	K00435
gene302	K00436
gene303	K00437
gene304	K00441
gene305	K00446
gene306	K00448
gene307	K00449
gene308	K00450
gene309	K00451
gene310	K00453
gene311	K00455
gene312	K00457
gene313	K00459
gene314	K00460
gene315	K00462
gene316	K00471
gene317	K00477
gene318	K00478
gene319	K00479
gene320	K00480
gene321	K00481
gene322	K00483
gene323	K00484
gene324	K00485
gene325	K00486
gene326	K00491
gene327	K00492
gene328	K00493
gene329	K00494
gene330	K00496
gene331	K00500
gene332	K00504
gene333	K00507
gene334	K00508
gene335	K00517
gene336	K00518
gene337	K00520
gene338	K00523
gene339	K00525
gene340	K00526
gene341	K00527
gene342	K00528
gene343	K00529
gene344	K00532
gene345	K00533
gene346	K00535
gene347	K00536
gene348	K00537
gene349	K00538
gene350	K00539
gene351	K00540
gene352	K00543
gene353	K00547
gene354	K00548
gene355	K00549
gene356	K00551
gene357	K00554
gene358	K00556
gene359	K00557
gene360	K00558
gene361	K00559
gene362	K00560
gene363	K00561
gene364	K00563
gene365	K00564
gene366	K00566
gene367	K00567
gene368	K00568
gene369	K00569
gene370	K00570
gene371	K00571
gene372	K00573
gene373	K00574
gene374	K00575
gene375	K00587
gene376	K00588
gene377	K00590
gene378	K00591
gene379	K00595
gene380	K00596
gene381	K00598
gene382	K00599
gene383	K00600
gene384	K00601
gene385	K00602
gene386	K00603
gene387	K00604
gene388	K00605
gene389	K00606
gene390	K00607
gene391	K00609
gene392	K00610
gene393	K00611
gene394	K00612
gene395	K00613
gene396	K00614
gene397	K00615
gene398	K00616
gene399	K00619
gene400	K00620
gene401	K00621
gene402	K00622
gene403	K00624
gene404	K00625
gene405	K00626
gene406	K00627
gene407	K00631
gene408	K00632
gene409	K00633
gene410	K00634
gene411	K00635
gene412	K00638
gene413	K00639
gene414	K00640
gene415	K00641
gene416	K00643
gene417	K00645
gene418	K00647
gene419	K00648
gene420	K00650
gene421	K00651
gene422	K00652
gene423	K00653
gene424	K00655
gene425	K00656
gene426	K00657
gene427	K00658
gene428	K00660
gene429	K00661
gene430	K00662
gene431	K00663
gene432	K00666
gene433	K00667
gene434	K00668
gene435	K00669
gene436	K00673
gene437	K00674
gene438	K00675
gene439	K00676
gene440	K00677
gene441	K00680
gene442	K00681
gene443	K00683
gene444	K00684
gene445	K00685
gene446	K00687
gene447	K00688
gene448	K00689
gene449	K00690
gene450	K00691
gene451	K00692
gene452	K00694
gene453	K00695
gene454	K00696
gene455	K00697
gene456	K00700
gene457	K00701
gene458	K00702
gene459	K00703
gene460	K00705
gene461	K00710
gene462	K00712
gene463	K00713
gene464	K00720
gene465	K00721
gene466	K00728
gene467	K00729
gene468	K00737
gene469	K00743
gene470	K00745
gene471	K00748
gene472	K00750
gene473	K00752
gene474	K00754
gene475	K00756
gene476	K00757
gene477	K00758
gene478	K00759
gene479	K00760
gene480	K00761
gene481	K00762
gene482	K00763
gene483	K00764
gene484	K00765
gene485	K00766
gene486	K00767
gene487	K00768
gene488	K00769
gene489	K00772
gene490	K00773
gene491	K00777
gene492	K00782
gene493	K00783
gene494	K00784
gene495	K00786
gene496	K00788
gene497	K00789
gene498	K00790
gene499	K00791
gene500	K00793
gene501	K00794
gene502	K00795
gene503	K00796
gene504	K00797
gene505	K00798
gene506	K00799
gene507	K00800
gene508	K00801
gene509	K00803
gene510	K00805
gene511	K00806
gene512	K00808
gene513	K00809
gene514	K00810
gene515	K00811
gene516	K00812
gene517	K00813
gene518	K00817
gene519	K00818
