gene1	K00001
gene2	K00002
gene3	K00003
gene4	K00004
gene5	K00005
gene6	K00006
gene7	K00007
gene8	K00008
gene9	K00009
gene10	K00010
gene11	K00011
gene12	K00012
gene13	K00013
gene14	K00014
gene15	K00015
gene16	K00016
gene17	K00018
gene18	K00019
gene19	K00020
gene20	K00021
gene21	K00023
gene22	K00024
gene23	K00025
gene24	K00026
gene25	K00027
gene26	K00028
gene27	K00029
gene28	K00030
gene29	K00031
gene30	K00032
gene31	K00033
gene32	K00034
gene33	K00036
gene34	K00037
gene35	K00038
gene36	K00039
gene37	K00040
gene38	K00041
gene39	K00042
gene40	K00043
gene41	K00044
gene42	K00045
gene43	K00046
gene44	K00048
gene45	K00050
gene46	K00051
gene47	K00052
gene48	K00053
gene49	K00054
gene50	K00055
gene51	K00057
gene52	K00058
gene53	K00059
gene54	K00060
gene55	K00062
gene56	K00063
gene57	K00064
gene58	K00065
gene59	K00066
gene60	K00067
gene61	K00068
gene62	K00071
gene63	K00073
gene64	K00074
gene65	K00075
gene66	K00076
gene67	K00077
gene68	K00078
gene69	K00079
gene70	K00081
gene71	K00082
gene72	K00086
gene73	K00087
gene74	K00088
gene75	K00090
gene76	K00091
gene77	K00094
gene78	K00096
gene79	K00097
gene80	K00098
gene81	K00099
gene82	K00100
gene83	K00101
gene84	K00102
gene85	K00103
gene86	K00104
gene87	K00106
gene88	K00108
gene89	K00111
gene90	K00112
gene91	K00113
gene92	K00114
gene93	K00116
gene94	K00117
gene95	K00118
gene96	K00119
gene97	K00120
gene98	K00121
gene99	K00122
gene100	K00123
gene101	K00124
gene102	K00125
gene103	K00127
gene104	K00128
gene105	K00129
gene106	K00130
gene107	K00131
gene108	K00132
gene109	K00133
gene110	K00134
gene111	K00135
gene112	K00137
gene113	K00138
gene114	K00140
gene115	K00141
gene116	K00143
gene117	K00145
gene118	K00146
gene119	K00147
gene120	K00150
gene121	K00151
gene122	K00154
gene123	K00155
gene124	K00156
gene125	K00158
gene126	K00161
gene127	K00162
gene128	K00163
gene129	K00164
gene130	K00166
gene131	K00167
gene132	K00169
gene133	K00170
gene134	K00171
gene135	K00172
gene136	K00174
gene137	K00175
gene138	K00176
gene139	K00177
gene140	K00179
gene141	K00180
gene142	K00183
gene143	K00184
gene144	K00185
gene145	K00186
gene146	K00187
gene147	K00188
gene148	K00189
gene149	K00194
gene150	K00196
gene151	K00197
gene152	K00198
gene153	K00200
gene154	K00201
gene155	K00202
gene156	K00203
gene157	K00204
gene158	K00205
gene159	K00207
gene160	K00208
gene161	K00210
gene162	K00214
gene163	K00215
gene164	K00216
gene165	K00218
gene166	K00219
gene167	K00220
gene168	K00224
gene169	K00226
gene170	K00228
gene171	K00230
gene172	K00231
gene173	K00234
gene174	K00235
gene175	K00239
gene176	K00240
gene177	K00241
gene178	K00242
gene179	K00243
gene180	K00244
gene181	K00245
gene182	K00246
gene183	K00247
gene184	K00248
gene185	K00249
gene186	K00253
gene187	K00254
gene188	K00257
gene189	K00259
gene190	K00260
gene191	K00261
gene192	K00262
gene193	K00263
gene194	K00264
gene195	K00265
gene196	K00266
gene197	K00273
gene198	K00274
gene199	K00275
gene200	K00276
gene201	K00278
gene202	K00281
gene203	K00282
gene204	K00283
gene205	K00284
gene206	K00285
gene207	K00286
gene208	K00287
gene209	K00288
gene210	K00290
gene211	K00291
gene212	K00294
gene213	K00297
gene214	K00298
gene215	K00299
gene216	K00301
gene217	K00302
gene218	K00303
gene219	K00309
gene220	K00311
gene221	K00313
gene222	K00316
gene223	K00317
gene224	K00318
gene225	K00319
gene226	K00320
gene227	K00322
gene228	K00324
gene229	K00325
gene230	K00326
gene231	K00327
gene232	K00328
gene233	K00329
gene234	K00330
gene235	K00331
gene236	K00332
gene237	K00333
gene238	K00334
gene239	K00335
gene240	K00336
gene241	K00337
gene242	K00338
gene243	K00339
gene244	K00340
gene245	K00341
gene246	K00342
gene247	K00343
gene248	K00344
gene249	K00346
gene250	K00347
gene251	K00348
gene252	K00349
gene253	K00350
gene254	K00351
gene255	K00353
gene256	K00354
gene257	K00355
gene258	K00356
gene259	K00358
gene260	K00359
gene261	K00362
gene262	K00363
gene263	K00364
gene264	K00366
gene265	K00368
gene266	K00369
gene267	K00370
gene268	K00371
gene269	K00372
gene270	K00373
gene271	K00374
gene272	K00375
gene273	K00376
gene274	K00378
gene275	K00380
gene276	K00381
gene277	K00382
gene278	K00383
gene279	K00384
gene280	K00385
gene281	K00386
gene282	K00389
gene283	K00390
gene284	K00392
gene285	K00394
gene286	K00395
gene287	K00397
gene288	K00399
gene289	K00400
gene290	K00401
gene291	K00402
gene292	K00404
gene293	K00405
gene294	K00406
gene295	K00407
gene296	K00411
gene297	K00412
gene298	K00413
gene299	K00421
gene300	K00423
gene301	K00425
gene302	K00426
gene303	K00427
gene304	K00428
gene305	K00429
gene306	K00432
gene307	K00433
gene308	K00435
gene309	K00436
gene310	K00437
gene311	K00440
gene312	K00441
gene313	K00442
gene314	K00443
gene315	K00449
gene316	K00450
gene317	K00455
gene318	K00457
gene319	K00459
gene320	K00462
gene321	K00467
gene322	K00470
gene323	K00476
gene324	K00480
gene325	K00481
gene326	K00483
gene327	K00484
gene328	K00491
gene329	K00492
gene330	K00493
gene331	K00494
gene332	K00496
gene333	K00499
gene334	K00504
gene335	K00508
gene336	K00514
gene337	K00517
gene338	K00518
gene339	K00519
gene340	K00520
gene341	K00523
gene342	K00524
gene343	K00525
gene344	K00526
gene345	K00527
gene346	K00528
gene347	K00529
gene348	K00532
gene349	K00533
gene350	K00534
gene351	K00535
gene352	K00536
gene353	K00537
gene354	K00538
gene355	K00539
gene356	K00540
gene357	K00545
gene358	K00547
gene359	K00548
gene360	K00549
gene361	K00550
gene362	K00551
gene363	K00554
gene364	K00555
gene365	K00556
gene366	K00557
gene367	K00558
gene368	K00559
gene369	K00560
gene370	K00561
gene371	K00563
gene372	K00564
gene373	K00565
gene374	K00566
gene375	K00567
gene376	K00568
gene377	K00569
gene378	K00571
gene379	K00573
gene380	K00574
gene381	K00575
gene382	K00577
gene383	K00578
gene384	K00579
gene385	K00580
gene386	K00581
gene387	K00582
gene388	K00583
gene389	K00584
gene390	K00586
gene391	K00587
gene392	K00588
gene393	K00590
gene394	K00591
gene395	K00595
gene396	K00596
gene397	K00598
gene398	K00599
gene399	K00600
gene400	K00602
gene401	K00603
gene402	K00604
gene403	K00605
gene404	K00606
gene405	K00607
gene406	K00608
gene407	K00609
gene408	K00610
gene409	K00611
gene410	K00612
gene411	K00613
gene412	K00614
gene413	K00615
gene414	K00616
gene415	K00619
gene416	K00620
gene417	K00621
gene418	K00625
gene419	K00626
gene420	K00627
gene421	K00630
gene422	K00631
gene423	K00632
gene424	K00633
gene425	K00634
gene426	K00635
gene427	K00637
gene428	K00638
gene429	K00639
gene430	K00640
gene431	K00641
gene432	K00645
gene433	K00646
gene434	K00647
gene435	K00648
gene436	K00649
gene437	K00650
gene438	K00651
gene439	K00652
gene440	K00653
gene441	K00654
gene442	K00655
gene443	K00656
gene444	K00657
gene445	K00658
gene446	K00660
gene447	K00661
gene448	K00662
gene449	K00663
gene450	K00666
gene451	K00667
gene452	K00670
gene453	K00671
gene454	K00672
gene455	K00673
gene456	K00674
gene457	K00675
gene458	K00676
gene459	K00677
gene460	K00680
gene461	K00681
gene462	K00683
gene463	K00684
gene464	K00685
gene465	K00687
gene466	K00688
gene467	K00689
gene468	K00690
gene469	K00691
gene470	K00692
gene471	K00694
gene472	K00695
gene473	K00696
gene474	K00697
gene475	K00700
gene476	K00701
gene477	K00702
gene478	K00703
gene479	K00705
gene480	K00706
gene481	K00710
gene482	K00712
gene483	K00713
gene484	K00720
gene485	K00721
gene486	K00728
gene487	K00729
gene488	K00737
gene489	K00743
gene490	K00745
gene491	K00748
gene492	K00750
gene493	K00752
gene494	K00754
gene495	K00756
gene496	K00757
gene497	K00758
gene498	K00759
gene499	K00760
gene500	K00761
gene501	K00762
gene502	K00763
gene503	K00764
gene504	K00765
gene505	K00766
gene506	K00767
gene507	K00768
gene508	K00769
gene509	K00772
gene510	K00773
gene511	K00777
gene512	K00782
gene513	K00783
gene514	K00784
gene515	K00786
gene516	K00788
gene517	K00789
gene518	K00790
gene519	K00791
